T1,T2,T3,T4
2.201302197,2.201302197,2.201302197,2.201302197
2.029514474,2.029514474,2.029514474,2.029514474
1.874841328,1.874841328,1.874841328,1.874841328
1.707745168,1.707745168,1.707745168,1.707745168
1.609738567,1.609738567,1.609738567,1.609738567
1.389703168,1.389703168,1.389703168,1.389703168
1.252424115,1.252424115,1.252424115,1.252424115
1.389154838,1.389154838,1.389154838,1.389154838
1.498804756,1.498804756,1.498804756,1.498804756
1.693029868,1.693029868,1.693029868,1.693029868
1.843914188,1.843914188,1.843914188,1.843914188
2.017623741,2.017623741,2.017623741,2.017623741
2.363865943,2.363865943,2.363865943,2.363865943
2.855296522,2.855296522,2.855296522,2.855296522
2.54850732,2.54850732,2.54850732,2.54850732
2.259984188,2.259984188,2.259984188,2.259984188
2.270970846,2.270970846,2.270970846,2.270970846
2.31079029,2.31079029,2.31079029,2.31079029
2.322866921,2.322866921,2.322866921,2.322866921
2.26151015,2.26151015,2.26151015,2.26151015
2.216559141,2.216559141,2.216559141,2.216559141
2.186059966,2.186059966,2.186059966,2.186059966
2.37131253,2.37131253,2.37131253,2.37131253
1.943358484,1.943358484,1.943358484,1.943358484
1.770864619,1.770864619,1.770864619,1.770864619
1.650518258,1.650518258,1.650518258,1.650518258
1.656442895,1.656442895,1.656442895,1.656442895
1.660394882,1.660394882,1.660394882,1.660394882
1.669842203,1.669842203,1.669842203,1.669842203
1.61373335,1.61373335,1.61373335,1.61373335
1.493753434,1.493753434,1.493753434,1.493753434
1.606990231,1.606990231,1.606990231,1.606990231
1.588462032,1.588462032,1.588462032,1.588462032
1.617080837,1.617080837,1.617080837,1.617080837
1.64396906,1.64396906,1.64396906,1.64396906
1.775985484,1.775985484,1.775985484,1.775985484
2.163280205,2.163280205,2.163280205,2.163280205
2.70230715,2.70230715,2.70230715,2.70230715
2.444384835,2.444384835,2.444384835,2.444384835
2.181293508,2.181293508,2.181293508,2.181293508
2.220731797,2.220731797,2.220731797,2.220731797
2.218539815,2.218539815,2.218539815,2.218539815
2.255356819,2.255356819,2.255356819,2.255356819
2.20943754,2.20943754,2.20943754,2.20943754
2.212847884,2.212847884,2.212847884,2.212847884
2.21274223,2.21274223,2.21274223,2.21274223
2.393295206,2.393295206,2.393295206,2.393295206
2.016152612,2.016152612,2.016152612,2.016152612
